Strain,Stress_MPa,condition,nozzle_mm,gravity,run
0.006087764800273502,1.2780136182904305,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.006248992794379624,1.291166217625143,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.0064908723328094805,1.2952258184552181,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.0064908723328094805,1.300856025516993,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.006813403415571378,1.2979988172650305,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.006369970110869522,1.296735580265518,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.007095608726167254,1.301108558475968,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.007095608726167254,1.3414292410016055,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.0067328269657932855,1.3819430425763182,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.0071762602704952844,1.424382312595843,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.0071762602704952844,1.4639370992779681,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.007458465581091161,1.5021802023053181,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.0071762602704952844,1.5428235128521932,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.0071762602704952844,1.5828241422772433,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.007942299752504822,1.6212978437542929,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.007780996663849048,1.6632833555340807,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.008224505063100842,1.7032604292035056,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.008224505063100842,1.743008048832418,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.00850671037369672,1.781930167973043,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.008426058829368688,1.8205854490399307,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.008426058829368688,1.8608320310711808,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.009111446767050483,1.901297004520893,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
